     0.657     -0.443     -0.466     -0.826     -2.159     -1.267     -0.500      0.753      2.258     -0.500 98571019
     0.789      0.583      1.574      1.185     -0.041      0.483      0.500      0.324     -0.242     -0.500 90572192
     0.696     -1.019      0.646      0.898     -1.656     -0.017     -0.500      0.012     -0.742     -0.500 93579992
    -1.377     -0.686     -0.957     -1.897     -1.135      1.233     -0.500     -0.091     -0.742     -0.500 96506285
     0.884      1.947      0.638      0.407     -0.136      1.483     -0.500     -0.657     -0.742      0.500 96578548
    -0.712      0.906     -0.479     -0.083      1.746      1.150      0.500      0.913      1.258     -0.500 91506238
    -0.700      0.594      0.668      1.185      0.153      0.233      0.500      0.409     -1.242     -0.500 92570295
     0.854      0.604     -0.204      0.694      1.144      1.400      0.500     -0.566      0.258      0.500 22712340
    -0.156     -0.443      0.430      0.181     -0.026     -1.100      0.500      1.741     -0.742     -0.500 96579989
     0.356      1.947     -1.635     -1.897      0.651      2.566     -0.500     -0.146     -1.742      0.500 90578640
    -0.310     -0.686      1.812     -0.178      0.782      2.483      0.500      0.269     -0.742     -0.500 97570290
     0.908     -0.686      1.582      0.538     -1.147      2.066     -0.500     -0.929      1.258      0.500 97572861
     0.209     -1.019      0.665      0.898      0.170     -3.267      0.500      0.059     -2.242     -0.500 96710298
    -0.423     -0.686      0.430      1.185     -1.398      1.983      0.500     -0.334     -1.242     -0.500 93500074
    -0.421      0.132     -0.046      0.040     -0.199     -2.350     -0.500     -0.811     -0.742     -0.500 92579945
    -0.285      0.303     -1.172     -1.005      0.132      1.150      0.500      1.754     -0.742     -0.500 90573949
     0.053      0.573     -0.042     -1.058     -0.780     -1.100      0.500      1.247      1.758     -0.500 91576661
     0.555      0.293      0.656      0.653     -1.723      0.066      0.500      0.629      0.758     -0.500 94544288
     0.139     -0.384      0.206      0.939      0.540     -0.684      0.500      0.012     -0.242     -0.500 91573612
    -0.257      0.160     -0.024     -0.998     -0.506     -1.434      0.500     -1.622     -1.742      0.500 99715982
    -0.530     -0.384      1.133     -3.060      0.089      1.483      0.500      0.230     -1.742      0.500 98504824
     0.789     -0.384     -0.493     -0.893     -0.094     -0.850     -0.500      0.561      0.258     -0.500 93578534
     0.123     -1.019      1.340      0.694     -1.789     -2.517     -0.500      0.693      1.258     -0.500 57233419
    -1.031      0.271     -1.380     -0.597     -0.721      0.566      0.500     -1.756     -0.742     -0.500 91578540
